publication_date;report_date;province;health_zone;probable_cases;confirmed_cases;total_cases;new_suspected_cases;old_suspected_cases;total_suspected_cases;new_deaths;total_deaths;confirmed_deaths;new_cured;total_cured;population_density;forest_coverage_percent;water_proximity_index;latitude;longitude
43363;43362;North Kivu;Goma;0;0;0;1;0;1;0;0;0;0;0;2500;0.1;0.95;-1.6585;29.2185
43363;43362;North Kivu;Kalunguta;0;1;1;0;0;0;0;0;0;0;1;60;0.75;0.5;0.28;29.35
43363;43362;North Kivu;Oicha;1;2;3;0;0;0;0;1;0;0;2;120;0.8;0.5;0.6936;29.5218
43363;43362;North Kivu;Mabalako;21;68;89;2;0;2;0;65;44;0;27;55;0.85;0.6;0.4167;29.25
43363;43362;North Kivu;Masereka;0;1;1;0;0;0;0;1;1;0;0;90;0.3;0.3;0.18;29.15
43363;43362;North Kivu;Musienene;1;0;1;0;0;0;0;1;0;0;0;110;0.35;0.4;0.1;29.2
43363;43362;Ituri;Komanda;0;0;0;0;0;0;0;0;0;0;0;80;0.6;0.5;1.0508;30.0119
43363;43362;Ituri;Mandima;2;9;11;0;0;0;0;3;1;0;3;30;0.88;0.6;1.1522;29.0718
43362;43361;North Kivu;Beni;4;25;29;1;0;1;0;23;19;0;4;400;0.45;0.6;0.4911;29.473
43362;43361;North Kivu;Butembo;2;5;7;5;0;5;0;3;1;0;1;1200;0.15;0.4;0.1416;29.2881
43362;43361;North Kivu;Goma;0;0;0;1;0;1;0;0;0;0;0;2500;0.1;0.95;-1.6585;29.2185
43362;43361;North Kivu;Kalunguta;0;1;1;0;0;0;0;0;0;0;1;60;0.75;0.5;0.28;29.35
43362;43361;North Kivu;Oicha;1;2;3;0;0;0;0;1;0;0;2;120;0.8;0.5;0.6936;29.5218
43362;43361;North Kivu;Mabalako;21;68;89;1;0;1;0;65;44;0;27;55;0.85;0.6;0.4167;29.25
43362;43361;North Kivu;Masereka;0;1;1;0;0;0;0;1;1;0;0;90;0.3;0.3;0.18;29.15
43362;43361;North Kivu;Musienene;1;0;1;0;0;0;0;1;0;0;0;110;0.35;0.4;0.1;29.2
43362;43361;Ituri;Komanda;0;0;0;0;0;0;0;0;0;0;0;80;0.6;0.5;1.0508;30.0119
43362;43361;Ituri;Mandima;2;9;11;1;0;1;0;3;1;0;3;30;0.88;0.6;1.1522;29.0718
43361;43360;North Kivu;Beni;4;25;29;3;1;4;0;23;19;0;4;400;0.45;0.6;0.4911;29.473
43361;43360;North Kivu;Butembo;2;5;7;0;0;0;0;3;1;0;1;1200;0.15;0.4;0.1416;29.2881
43361;43360;North Kivu;Goma;0;0;0;0;0;0;0;0;0;0;0;2500;0.1;0.95;-1.6585;29.2185
43361;43360;North Kivu;Kalunguta;0;1;1;0;0;0;0;0;0;0;1;60;0.75;0.5;0.28;29.35
43361;43360;North Kivu;Oicha;1;2;3;0;0;0;0;1;0;0;2;120;0.8;0.5;0.6936;29.5218
43361;43360;North Kivu;Mabalako;21;68;89;0;0;0;0;65;44;0;27;55;0.85;0.6;0.4167;29.25
43361;43360;North Kivu;Masereka;0;1;1;0;0;0;0;1;1;0;0;90;0.3;0.3;0.18;29.15
43361;43360;North Kivu;Musienene;1;0;1;0;0;0;0;1;0;0;0;110;0.35;0.4;0.1;29.2
43361;43360;Ituri;Komanda;0;0;0;0;0;0;0;0;0;0;0;80;0.6;0.5;1.0508;30.0119
43361;43360;Ituri;Mandima;2;9;11;2;0;2;0;3;1;0;3;30;0.88;0.6;1.1522;29.0718
43360;43359;North Kivu;Beni;4;25;29;1;0;1;0;23;19;0;4;400;0.45;0.6;0.4911;29.473
43360;43359;North Kivu;Butembo;2;5;7;1;0;1;0;3;1;0;1;1200;0.15;0.4;0.1416;29.2881
43360;43359;North Kivu;Goma;0;0;0;0;0;0;0;0;0;0;0;2500;0.1;0.95;-1.6585;29.2185
43360;43359;North Kivu;Kalunguta;0;1;1;0;0;0;0;0;0;0;1;60;0.75;0.5;0.28;29.35
43360;43359;North Kivu;Oicha;1;2;3;2;0;2;0;1;0;0;2;120;0.8;0.5;0.6936;29.5218
43360;43359;North Kivu;Mabalako;21;68;89;1;0;1;0;65;44;0;27;55;0.85;0.6;0.4167;29.25
43360;43359;North Kivu;Masereka;0;1;1;1;0;1;0;1;1;0;0;90;0.3;0.3;0.18;29.15
43360;43359;North Kivu;Musienene;1;0;1;0;0;0;0;1;0;0;0;110;0.35;0.4;0.1;29.2
43360;43359;Ituri;Komanda;0;0;0;1;0;1;0;0;0;0;0;80;0.6;0.5;1.0508;30.0119
43360;43359;Ituri;Mandima;2;9;11;0;0;0;0;3;1;0;3;30;0.88;0.6;1.1522;29.0718
43359;43358;North Kivu;Beni;4;25;29;1;0;1;2;23;19;0;4;400;0.45;0.6;0.4911;29.473
43359;43358;North Kivu;Butembo;2;5;7;1;0;1;0;3;1;0;1;1200;0.15;0.4;0.1416;29.2881
43359;43358;North Kivu;Goma;0;0;0;0;0;0;0;0;0;0;0;2500;0.1;0.95;-1.6585;29.2185
43359;43358;North Kivu;Kalunguta;0;1;1;0;0;0;0;0;0;0;1;60;0.75;0.5;0.28;29.35
43359;43358;North Kivu;Oicha;1;2;3;0;0;0;0;1;0;0;2;120;0.8;0.5;0.6936;29.5218
43359;43358;North Kivu;Mabalako;21;68;89;1;0;1;0;65;44;1;27;55;0.85;0.6;0.4167;29.25
43359;43358;North Kivu;Masereka;0;1;1;1;0;1;0;1;1;0;0;90;0.3;0.3;0.18;29.15
43359;43358;North Kivu;Musienene;1;0;1;0;0;0;0;1;0;0;0;110;0.35;0.4;0.1;29.2
43359;43358;Ituri;Mandima;2;9;11;0;0;0;0;3;1;0;3;30;0.88;0.6;1.1522;29.0718
43358;43357;North Kivu;Beni;4;24;28;1;0;1;1;21;17;0;4;400;0.45;0.6;0.4911;29.473
43358;43357;North Kivu;Butembo;2;4;6;3;0;3;0;3;1;0;1;1200;0.15;0.4;0.1416;29.2881
43358;43357;North Kivu;Goma;0;0;0;0;0;0;0;0;0;0;0;2500;0.1;0.95;-1.6585;29.2185
43358;43357;North Kivu;Kalunguta;0;1;1;0;0;0;0;0;0;0;1;60;0.75;0.5;0.28;29.35
43358;43357;North Kivu;Oicha;1;2;3;0;0;0;0;1;0;0;2;120;0.8;0.5;0.6936;29.5218
43358;43357;North Kivu;Mabalako;21;68;89;0;0;0;0;65;44;0;26;55;0.85;0.6;0.4167;29.25
43358;43357;North Kivu;Masereka;0;1;1;0;0;0;0;1;1;0;0;90;0.3;0.3;0.18;29.15
43358;43357;North Kivu;Musienene;1;0;1;0;0;0;0;1;0;0;0;110;0.35;0.4;0.1;29.2
43358;43357;Ituri;Mandima;2;9;11;1;0;1;0;3;1;0;3;30;0.88;0.6;1.1522;29.0718
43357;43356;North Kivu;Beni;4;24;28;3;0;3;1;20;16;0;4;400;0.45;0.6;0.4911;29.473
43357;43356;North Kivu;Butembo;2;4;6;5;0;5;0;3;1;0;1;1200;0.15;0.4;0.1416;29.2881
43357;43356;North Kivu;Goma;0;0;0;0;0;0;0;0;0;0;0;2500;0.1;0.95;-1.6585;29.2185
43357;43356;North Kivu;Kalunguta;0;1;1;0;0;0;0;0;0;0;1;60;0.75;0.5;0.28;29.35
43357;43356;North Kivu;Oicha;1;2;3;1;0;1;0;1;0;0;2;120;0.8;0.5;0.6936;29.5218
43357;43356;North Kivu;Mabalako;21;68;89;2;0;2;1;65;44;0;26;55;0.85;0.6;0.4167;29.25
43357;43356;North Kivu;Masereka;0;1;1;2;0;2;0;1;1;0;0;90;0.3;0.3;0.18;29.15
43357;43356;North Kivu;Musienene;1;0;1;0;0;0;0;1;0;0;0;110;0.35;0.4;0.1;29.2
43357;43356;Ituri;Mandima;2;9;11;0;0;0;0;3;1;0;3;30;0.88;0.6;1.1522;29.0718
43356;43355;North Kivu;Beni;4;21;25;8;0;8;0;19;15;0;4;400;0.45;0.6;0.4911;29.473
43356;43355;North Kivu;Butembo;2;4;6;4;0;4;0;3;1;0;1;1200;0.15;0.4;0.1416;29.2881
43356;43355;North Kivu;Goma;0;0;0;0;0;0;0;0;0;0;0;2500;0.1;0.95;-1.6585;29.2185
43356;43355;North Kivu;Kalunguta;0;1;1;0;0;0;0;0;0;0;1;60;0.75;0.5;0.28;29.35
43356;43355;North Kivu;Oicha;1;2;3;1;0;1;0;1;0;0;2;120;0.8;0.5;0.6936;29.5218
43356;43355;North Kivu;Mabalako;21;68;89;2;0;2;0;64;43;0;26;55;0.85;0.6;0.4167;29.25
43356;43355;North Kivu;Masereka;0;1;1;2;0;2;0;1;1;0;0;90;0.3;0.3;0.18;29.15
43356;43355;North Kivu;Musienene;1;0;1;0;0;0;0;1;0;0;0;110;0.35;0.4;0.1;29.2
43356;43355;Ituri;Mandima;2;9;11;0;0;0;0;3;1;0;3;30;0.88;0.6;1.1522;29.0718
43355;43354;North Kivu;Beni;4;20;24;2;0;2;0;19;15;0;4;400;0.45;0.6;0.4911;29.473
43355;43354;North Kivu;Butembo;2;3;5;4;0;4;0;3;1;0;1;1200;0.15;0.4;0.1416;29.2881
43355;43354;North Kivu;Goma;0;0;0;0;0;0;0;0;0;0;0;2500;0.1;0.95;-1.6585;29.2185
43355;43354;North Kivu;Kalunguta;0;1;1;0;0;0;0;0;0;0;1;60;0.75;0.5;0.28;29.35
43355;43354;North Kivu;Oicha;1;2;3;2;0;2;0;1;0;0;2;120;0.8;0.5;0.6936;29.5218
43355;43354;North Kivu;Mabalako;21;66;87;5;3;8;0;64;43;0;26;55;0.85;0.6;0.4167;29.25
43355;43354;North Kivu;Masereka;0;1;1;2;0;2;0;1;1;0;0;90;0.3;0.3;0.18;29.15
43355;43354;North Kivu;Musienene;1;0;1;0;0;0;0;1;0;0;0;110;0.35;0.4;0.1;29.2
43355;43354;Ituri;Mandima;2;9;11;1;0;1;0;3;1;0;3;30;0.88;0.6;1.1522;29.0718
43354;43353;North Kivu;Beni;4;20;24;3;0;3;0;19;15;0;4;400;0.45;0.6;0.4911;29.473
43354;43353;North Kivu;Butembo;2;2;4;0;0;0;0;3;1;1;1;1200;0.15;0.4;0.1416;29.2881
43354;43353;North Kivu;Goma;0;0;0;1;0;1;0;0;0;0;0;2500;0.1;0.95;-1.6585;29.2185
43354;43353;North Kivu;Kalunguta;0;1;1;0;0;0;0;0;0;0;1;60;0.75;0.5;0.28;29.35
43354;43353;North Kivu;Oicha;1;2;3;0;0;0;0;1;0;0;2;120;0.8;0.5;0.6936;29.5218
43354;43353;North Kivu;Mabalako;21;66;87;3;2;5;1;64;43;0;26;55;0.85;0.6;0.4167;29.25
43354;43353;North Kivu;Masereka;0;1;1;0;0;0;0;1;1;0;0;90;0.3;0.3;0.18;29.15
43354;43353;North Kivu;Musienene;1;0;1;0;0;0;0;1;0;0;0;110;0.35;0.4;0.1;29.2
43354;43353;Ituri;Mandima;2;9;11;0;0;0;0;3;1;0;3;30;0.88;0.6;1.1522;29.0718
43353;43352;North Kivu;Beni;4;20;24;1;1;2;1;19;15;1;4;400;0.45;0.6;0.4911;29.473
43353;43352;North Kivu;Butembo;2;2;4;0;0;0;0;3;1;0;0;1200;0.15;0.4;0.1416;29.2881
43353;43352;North Kivu;Kalunguta;0;1;1;0;0;0;0;0;0;0;1;60;0.75;0.5;0.28;29.35
43353;43352;North Kivu;Oicha;1;2;3;0;0;0;0;1;0;0;2;120;0.8;0.5;0.6936;29.5218
43353;43352;North Kivu;Mabalako;21;66;87;2;5;7;0;63;42;0;26;55;0.85;0.6;0.4167;29.25
